88	Isaiah Canaan\canaais01	27	PHO	19	15	26.5	0.492	3.3	7.5	7.3	0.515	14.2	-3.3	-1.4
88	Isaiah Canaan\canaais01	27	MIN	7	1	13.6	0.500	2.7	4.7	12.3	0.536	15.4	0.7	-2.0
88	Isaiah Canaan\canaais01	27	MIL	4	0	7.8	0.500	0.8	1.5	5.2	0.500	10.8	-3.3	-0.7
89	Clint Capela\capelca01	24	HOU	67	67	33.6	0.648	1.4	16.6	23.8	0.658	18.2	3.3	-0.3
90	DeMarre Carroll\carrode01	32	BRK	67	8	25.4	0.487	1.3	11.1	12.1	0.546	18.6	-0.9	-0.6
91	Jevon Carter\carteje01	23	MEM	39	3	14.8	0.395	1.8	4.4	7.8	0.432	18.0	-4.1	0.1
92	Vince Carter\cartevi01	42	ATL	76	9	17.5	0.550	1.1	7.4	11.8	0.565	16.7	-0.4	-0.3
93	Wendell Carter Jr.\cartewe01	19	CHI	44	44	25.2	0.493	1.8	10.3	15.2	0.541	19.1	-2.2	0.6
94	Michael Carter-Williams\cartemi01	27	TOT	28	1	13.3	0.415	2.5	4.8	14.7	0.458	19.4	-1.4	2.2
94	Michael Carter-Williams\cartemi01	27	HOU	16	1	9.1	0.467	1.3	4.3	12.7	0.476	24.7	-2.8	1.2
94	Michael Carter-Williams\cartemi01	27	ORL	12	0	18.9	0.363	4.1	5.4	16.1	0.440	16.1	-0.5	2.9
95	Alex Caruso\carusal01	24	LAL	25	4	21.2	0.514	3.1	9.2	13.9	0.569	19.0	-1.0	0.7
96	Omri Casspi\casspom01	30	MEM	36	0	14.4	0.581	0.7	6.3	15.7	0.606	18.0	-0.3	0.7
97	Willie Cauley-Stein\caulewi01	25	SAC	81	81	27.3	0.557	2.4	11.9	18.0	0.566	17.5	0.2	1.1
98	Troy Caupain\caupatr01	23	ORL	4	0	4.0	0.625	1.0	2.5	30.7	0.625	21.8	9.6	3.7
99	Tyler Cavanaugh\cavanty01	24	UTA	11	0	3.5	0.350	0.1	0.8	5.0	0.414	13.0	-5.3	-3.1
100	Tyson Chandler\chandty01	36	TOT	55	6	15.9	0.616	0.7	3.1	11.2	0.630	8.5	-2.9	0.8
100	Tyson Chandler\chandty01	36	PHO	7	0	12.7	0.667	0.9	3.7	11.5	0.653	13.0	-4.8	0.2
100	Tyson Chandler\chandty01	36	LAL	48	6	16.4	0.609	0.6	3.1	11.2	0.626	8.0	-2.7	0.9
101	Wilson Chandler\chandwi01	31	TOT	51	33	23.1	0.526	1.6	6.0	8.5	0.537	11.8	-2.3	-0.5
101	Wilson Chandler\chandwi01	31	PHI	36	32	26.4	0.551	2.0	6.7	9.1	0.561	11.2	-1.8	-0.2
101	Wilson Chandler\chandwi01	31	LAC	15	1	15.1	0.447	0.7	4.3	5.8	0.463	14.2	-4.5	-1.6
102	Joe Chealey\chealjo01	23	CHO	1	0	8.0	0.333	1.0	2.0	2.0	0.333	16.2	-8.5	-6.0
103	Chris Chiozza\chiozch01	23	HOU	7	0	4.7	0.375	0.6	0.9	7.0	0.375	11.8	-2.7	1.4
104	Marquese Chriss\chrisma01	21	TOT	43	2	11.6	0.417	0.5	4.2	9.2	0.455	20.6	-5.7	-1.9
104	Marquese Chriss\chrisma01	21	HOU	16	0	6.5	0.338	0.4	1.8	3.4	0.391	20.5	-9.6	-1.7
104	Marquese Chriss\chrisma01	21	CLE	27	2	14.6	0.435	0.6	5.7	10.7	0.470	20.7	-4.6	-1.9
105	Gary Clark\clarkga01	24	HOU	51	2	12.6	0.467	0.4	2.9	9.2	0.480	10.9	-1.1	0.4
106	Ian Clark\clarkia01	27	NOP	60	6	16.2	0.480	1.6	6.7	8.3	0.502	19.3	-3.3	-1.8
107	Jordan Clarkson\clarkjo01	26	CLE	81	0	27.3	0.509	2.4	16.8	16.8	0.539	27.6	2.1	-2.6
108	John Collins\collijo01	21	ATL	61	59	30.0	0.593	2.0	19.5	21.8	0.627	23.7	2.8	-1.9
109	Zach Collins\colliza01	21	POR	77	0	17.6	0.523	0.9	6.6	13.5	0.562	16.6	-1.5	0.3
110	Darren Collison\collida01	31	IND	76	76	28.2	0.527	6.0	11.2	16.7	0.574	17.7	0.8	1.0
111	Bonzie Colson\colsobo01	23	MIL	8	2	12.3	0.397	0.4	4.9	12.9	0.454	19.6	-2.6	-0.8
